candidate,case_key,source_run,group_size,group_match,candidate_status,source_text_kind,pass1_blocks_present,pass1_blocks_absent,ghost_answers,ghost_answers_with_value,false_absent
qwen3.5-397b,36:705:36-705-0,36,4,True,complete,abstract,4,0,0,0,0
deepseek-v4-flash-nothink,36:741:36-741-0,36,4,True,complete,abstract,4,0,0,0,0
gpt-5-mini,36:741:36-741-0,36,4,True,complete,abstract,4,0,0,0,0
gemma4-31b,36:741:36-741-0,36,4,True,complete,abstract,4,0,0,0,0
gpt-5-nano,36:741:36-741-0,36,4,False,complete,abstract,4,0,0,0,0
qwen3.5-397b,36:741:36-741-0,36,4,True,complete,abstract,4,0,0,0,0
deepseek-v4-flash-nothink,36:749:36-749-0,36,4,True,complete,abstract,4,0,0,0,0
gpt-5-mini,36:749:36-749-0,36,4,True,complete,abstract,4,0,0,0,0
gemma4-31b,36:749:36-749-0,36,4,True,complete,abstract,4,0,0,0,0
gpt-5-nano,36:749:36-749-0,36,4,True,complete,abstract,4,0,0,0,0
qwen3.5-397b,36:749:36-749-0,36,4,True,complete,abstract,4,0,0,0,0
deepseek-v4-flash-nothink,36:790:36-790-0,36,4,True,complete,abstract,4,0,0,0,0
gpt-5-mini,36:790:36-790-0,36,4,True,complete,abstract,4,0,0,0,0
gemma4-31b,36:790:36-790-0,36,4,True,complete,abstract,4,0,0,0,0
gpt-5-nano,36:790:36-790-0,36,4,True,complete,abstract,4,0,0,0,0
qwen3.5-397b,36:790:36-790-0,36,4,True,complete,abstract,4,0,0,0,0
deepseek-v4-flash-nothink,36:804:36-804-0,36,4,True,complete,abstract,3,1,0,0,0
gpt-5-mini,36:804:36-804-0,36,4,True,complete,abstract,3,1,0,0,0
gemma4-31b,36:804:36-804-0,36,4,True,complete,abstract,3,1,0,0,0
gpt-5-nano,36:804:36-804-0,36,4,False,complete,abstract,3,1,0,0,0
qwen3.5-397b,36:804:36-804-0,36,4,True,complete,abstract,3,1,0,0,0
deepseek-v4-flash-nothink,36:815:36-815-0,36,4,True,complete,abstract,4,0,0,0,0
gpt-5-mini,36:815:36-815-0,36,4,True,complete,abstract,4,0,0,0,0
gemma4-31b,36:815:36-815-0,36,4,True,complete,abstract,4,0,0,0,0
gpt-5-nano,36:815:36-815-0,36,4,True,complete,abstract,4,0,0,0,0
qwen3.5-397b,36:815:36-815-0,36,4,True,complete,abstract,4,0,0,0,0
deepseek-v4-flash-nothink,36:827:36-827-0,36,4,True,complete,abstract,3,1,0,0,0
gpt-5-mini,36:827:36-827-0,36,4,True,complete,abstract,3,1,0,0,0
gemma4-31b,36:827:36-827-0,36,4,True,complete,abstract,3,1,0,0,0
gpt-5-nano,36:827:36-827-0,36,4,False,complete,abstract,3,1,0,0,0
qwen3.5-397b,36:827:36-827-0,36,4,True,complete,abstract,3,1,0,0,0
deepseek-v4-flash-nothink,36:843:36-843-0,36,4,True,complete,abstract,3,1,0,0,0
gpt-5-mini,36:843:36-843-0,36,4,True,complete,abstract,3,1,0,0,0
gemma4-31b,36:843:36-843-0,36,4,True,complete,abstract,3,1,0,0,0
gpt-5-nano,36:843:36-843-0,36,4,True,complete,abstract,3,1,0,0,0
qwen3.5-397b,36:843:36-843-0,36,4,True,complete,abstract,3,1,0,0,0
deepseek-v4-flash-nothink,36:928:36-928-0,36,4,True,complete,abstract,1,3,0,0,0
gpt-5-mini,36:928:36-928-0,36,4,True,complete,abstract,1,3,0,0,0
gemma4-31b,36:928:36-928-0,36,4,True,complete,abstract,1,3,0,0,0
gpt-5-nano,36:928:36-928-0,36,4,False,complete,abstract,1,3,0,0,0
qwen3.5-397b,36:928:36-928-0,36,4,True,complete,abstract,1,3,0,0,0
deepseek-v4-flash-nothink,36:944:36-944-0,36,4,True,complete,abstract,4,0,0,0,0
gpt-5-mini,36:944:36-944-0,36,4,True,complete,abstract,4,0,0,0,0
gemma4-31b,36:944:36-944-0,36,4,True,complete,abstract,4,0,0,0,0
gpt-5-nano,36:944:36-944-0,36,4,True,complete,abstract,4,0,0,0,0
qwen3.5-397b,36:944:36-944-0,36,4,True,complete,abstract,4,0,0,0,0
deepseek-v4-flash-nothink,36:1004:36-1004-0,36,4,True,complete,abstract,1,3,0,0,0
gpt-5-mini,36:1004:36-1004-0,36,4,True,complete,abstract,1,3,0,0,0
gemma4-31b,36:1004:36-1004-0,36,4,True,complete,abstract,1,3,0,0,0
gpt-5-nano,36:1004:36-1004-0,36,4,False,complete,abstract,1,3,0,0,0
qwen3.5-397b,36:1004:36-1004-0,36,4,True,complete,abstract,1,3,0,0,0
deepseek-v4-flash-nothink,36:1116:36-1116-0,36,4,True,complete,abstract,3,1,0,0,0
gpt-5-mini,36:1116:36-1116-0,36,4,True,complete,abstract,3,1,0,0,0
gemma4-31b,36:1116:36-1116-0,36,4,True,complete,abstract,3,1,0,0,0
gpt-5-nano,36:1116:36-1116-0,36,4,False,complete,abstract,3,1,0,0,2
qwen3.5-397b,36:1116:36-1116-0,36,4,True,complete,abstract,3,1,0,0,0
deepseek-v4-flash-nothink,36:1217:36-1217-0,36,4,True,complete,abstract,1,3,0,0,0
gpt-5-mini,36:1217:36-1217-0,36,4,False,complete,abstract,1,3,0,0,0
gemma4-31b,36:1217:36-1217-0,36,4,True,complete,abstract,1,3,0,0,0
gpt-5-nano,36:1217:36-1217-0,36,4,False,complete,abstract,1,3,0,0,0
qwen3.5-397b,36:1217:36-1217-0,36,4,True,complete,abstract,1,3,0,0,0
deepseek-v4-flash-nothink,36:1272:36-1272-0,36,4,True,complete,abstract,2,2,0,0,0
gpt-5-mini,36:1272:36-1272-0,36,4,True,complete,abstract,2,2,0,0,0
gemma4-31b,36:1272:36-1272-0,36,4,True,complete,abstract,2,2,0,0,0
gpt-5-nano,36:1272:36-1272-0,36,4,False,complete,abstract,2,2,0,0,0
qwen3.5-397b,36:1272:36-1272-0,36,4,True,complete,abstract,2,2,0,0,0
deepseek-v4-flash-nothink,36:1304:36-1304-0,36,4,True,complete,abstract,2,2,0,0,0
gpt-5-mini,36:1304:36-1304-0,36,4,True,complete,abstract,2,2,0,0,0
gemma4-31b,36:1304:36-1304-0,36,4,True,complete,abstract,2,2,0,0,0
gpt-5-nano,36:1304:36-1304-0,36,4,True,complete,abstract,2,2,0,0,0
qwen3.5-397b,36:1304:36-1304-0,36,4,True,complete,abstract,2,2,0,0,0
deepseek-v4-flash-nothink,36:1389:36-1389-0,36,4,True,complete,abstract,3,1,0,0,0
gpt-5-mini,36:1389:36-1389-0,36,4,True,complete,abstract,3,1,0,0,0
gemma4-31b,36:1389:36-1389-0,36,4,True,complete,abstract,3,1,0,0,0
gpt-5-nano,36:1389:36-1389-0,36,4,True,complete,abstract,3,1,0,0,0
qwen3.5-397b,36:1389:36-1389-0,36,4,True,complete,abstract,3,1,0,0,0
deepseek-v4-flash-nothink,36:1586:36-1586-0,36,4,True,complete,abstract,4,0,0,0,0
gpt-5-mini,36:1586:36-1586-0,36,4,True,complete,abstract,4,0,0,0,0
gemma4-31b,36:1586:36-1586-0,36,4,True,complete,abstract,4,0,0,0,0
gpt-5-nano,36:1586:36-1586-0,36,4,False,complete,abstract,4,0,0,0,0
qwen3.5-397b,36:1586:36-1586-0,36,4,True,complete,abstract,4,0,0,0,0
deepseek-v4-flash-nothink,36:1796:36-1796-0,36,4,True,complete,abstract,3,1,0,0,0
gpt-5-mini,36:1796:36-1796-0,36,4,True,complete,abstract,3,1,0,0,0
gemma4-31b,36:1796:36-1796-0,36,4,True,complete,abstract,3,1,0,0,0
gpt-5-nano,36:1796:36-1796-0,36,4,True,complete,abstract,3,1,0,0,0
qwen3.5-397b,36:1796:36-1796-0,36,4,True,complete,abstract,3,1,0,0,0
deepseek-v4-flash-nothink,36:1849:36-1849-0,36,4,True,complete,abstract,1,3,0,0,0
gpt-5-mini,36:1849:36-1849-0,36,4,True,complete,abstract,1,3,0,0,0
gemma4-31b,36:1849:36-1849-0,36,4,True,complete,abstract,1,3,0,0,0
gpt-5-nano,36:1849:36-1849-0,36,4,False,complete,abstract,1,3,0,0,0
qwen3.5-397b,36:1849:36-1849-0,36,4,True,complete,abstract,1,3,0,0,0
deepseek-v4-flash-nothink,36:1876:36-1876-0,36,4,True,complete,abstract,1,3,0,0,0
gpt-5-mini,36:1876:36-1876-0,36,4,True,complete,abstract,1,3,0,0,0
gemma4-31b,36:1876:36-1876-0,36,4,True,complete,abstract,1,3,0,0,0
gpt-5-nano,36:1876:36-1876-0,36,4,False,complete,abstract,1,3,0,0,0
qwen3.5-397b,36:1876:36-1876-0,36,4,True,complete,abstract,1,3,0,0,0
deepseek-v4-flash-nothink,36:1895:36-1895-0,36,4,True,complete,abstract,3,1,0,0,0
gpt-5-mini,36:1895:36-1895-0,36,4,True,complete,abstract,3,1,0,0,0
gemma4-31b,36:1895:36-1895-0,36,4,True,complete,abstract,3,1,0,0,0
gpt-5-nano,36:1895:36-1895-0,36,4,False,complete,abstract,3,1,0,0,0
qwen3.5-397b,36:1895:36-1895-0,36,4,True,complete,abstract,3,1,0,0,0
deepseek-v4-flash-nothink,36:1931:36-1931-0,36,4,False,complete,abstract,2,2,0,0,0
gpt-5-mini,36:1931:36-1931-0,36,4,True,complete,abstract,2,2,0,0,0
gemma4-31b,36:1931:36-1931-0,36,4,True,complete,abstract,2,2,0,0,0
gpt-5-nano,36:1931:36-1931-0,36,4,True,complete,abstract,2,2,0,0,0
qwen3.5-397b,36:1931:36-1931-0,36,4,True,complete,abstract,2,2,0,0,0
deepseek-v4-flash-nothink,36:1978:36-1978-0,36,4,True,complete,abstract,3,1,0,0,0
gpt-5-mini,36:1978:36-1978-0,36,4,True,complete,abstract,3,1,0,0,0
gemma4-31b,36:1978:36-1978-0,36,4,True,complete,abstract,3,1,0,0,0
gpt-5-nano,36:1978:36-1978-0,36,4,True,complete,abstract,3,1,0,0,0
qwen3.5-397b,36:1978:36-1978-0,36,4,True,complete,abstract,3,1,0,0,0
deepseek-v4-flash-nothink,36:1991:36-1991-0,36,4,True,complete,abstract,2,2,0,0,0
gpt-5-mini,36:1991:36-1991-0,36,4,True,complete,abstract,2,2,0,0,0
gemma4-31b,36:1991:36-1991-0,36,4,True,complete,abstract,2,2,0,0,0
gpt-5-nano,36:1991:36-1991-0,36,4,True,complete,abstract,2,2,0,0,0
qwen3.5-397b,36:1991:36-1991-0,36,4,True,complete,abstract,2,2,0,0,0
deepseek-v4-flash-nothink,36:2003:36-2003-0,36,4,True,complete,abstract,3,1,0,0,0
gpt-5-mini,36:2003:36-2003-0,36,4,True,complete,abstract,3,1,0,0,0
gemma4-31b,36:2003:36-2003-0,36,4,True,complete,abstract,3,1,0,0,0
gpt-5-nano,36:2003:36-2003-0,36,4,True,complete,abstract,3,1,0,0,0
qwen3.5-397b,36:2003:36-2003-0,36,4,True,complete,abstract,3,1,0,0,0
deepseek-v4-flash-nothink,36:2013:36-2013-0,36,4,True,complete,abstract,3,1,0,0,0
gpt-5-mini,36:2013:36-2013-0,36,4,True,complete,abstract,3,1,0,0,0
gemma4-31b,36:2013:36-2013-0,36,4,True,complete,abstract,3,1,0,0,0
gpt-5-nano,36:2013:36-2013-0,36,4,False,complete,abstract,3,1,0,0,0
qwen3.5-397b,36:2013:36-2013-0,36,4,True,complete,abstract,3,1,0,0,0
deepseek-v4-flash-nothink,36:2128:36-2128-0,36,4,True,complete,abstract,3,1,0,0,0
gpt-5-mini,36:2128:36-2128-0,36,4,True,complete,abstract,3,1,0,0,0
gemma4-31b,36:2128:36-2128-0,36,4,True,complete,abstract,3,1,0,0,0
gpt-5-nano,36:2128:36-2128-0,36,4,False,complete,abstract,3,1,0,0,0
qwen3.5-397b,36:2128:36-2128-0,36,4,True,complete,abstract,3,1,0,0,0
deepseek-v4-flash-nothink,36:2152:36-2152-0,36,4,True,complete,abstract,3,1,0,0,0
gpt-5-mini,36:2152:36-2152-0,36,4,True,complete,abstract,3,1,0,0,0
gemma4-31b,36:2152:36-2152-0,36,4,True,complete,abstract,3,1,0,0,0
gpt-5-nano,36:2152:36-2152-0,36,4,False,complete,abstract,3,1,0,0,0
qwen3.5-397b,36:2152:36-2152-0,36,4,True,complete,abstract,3,1,0,0,0
deepseek-v4-flash-nothink,36:2210:36-2210-0,36,4,True,complete,abstract,3,1,0,0,0
gpt-5-mini,36:2210:36-2210-0,36,4,True,complete,abstract,3,1,0,0,0
gemma4-31b,36:2210:36-2210-0,36,4,True,complete,abstract,3,1,0,0,0
gpt-5-nano,36:2210:36-2210-0,36,4,True,complete,abstract,3,1,0,0,0
qwen3.5-397b,36:2210:36-2210-0,36,4,True,complete,abstract,3,1,0,0,0
deepseek-v4-flash-nothink,36:2288:36-2288-0,36,4,True,complete,abstract,4,0,0,0,0
gpt-5-mini,36:2288:36-2288-0,36,4,False,complete,abstract,4,0,0,0,0
gemma4-31b,36:2288:36-2288-0,36,4,True,complete,abstract,4,0,0,0,0
gpt-5-nano,36:2288:36-2288-0,36,4,True,complete,abstract,4,0,0,0,0
qwen3.5-397b,36:2288:36-2288-0,36,4,True,complete,abstract,4,0,0,0,0
deepseek-v4-flash-nothink,36:2340:36-2340-0,36,4,True,complete,abstract,3,1,0,0,0
gpt-5-mini,36:2340:36-2340-0,36,4,True,complete,abstract,3,1,0,0,0
gemma4-31b,36:2340:36-2340-0,36,4,True,complete,abstract,3,1,0,0,0
gpt-5-nano,36:2340:36-2340-0,36,4,True,complete,abstract,3,1,0,0,0
qwen3.5-397b,36:2340:36-2340-0,36,4,True,complete,abstract,3,1,0,0,0
deepseek-v4-flash-nothink,36:2354:36-2354-0,36,4,True,complete,abstract,1,3,0,0,0
gpt-5-mini,36:2354:36-2354-0,36,4,True,complete,abstract,1,3,0,0,0
gemma4-31b,36:2354:36-2354-0,36,4,True,complete,abstract,1,3,0,0,0
gpt-5-nano,36:2354:36-2354-0,36,4,False,complete,abstract,1,3,0,0,0
qwen3.5-397b,36:2354:36-2354-0,36,4,True,complete,abstract,1,3,0,0,0
deepseek-v4-flash-nothink,36:2384:36-2384-0,36,4,True,complete,abstract,4,0,0,0,0
gpt-5-mini,36:2384:36-2384-0,36,4,True,complete,abstract,4,0,0,0,0
gemma4-31b,36:2384:36-2384-0,36,4,True,complete,abstract,4,0,0,0,0
gpt-5-nano,36:2384:36-2384-0,36,4,True,complete,abstract,4,0,0,0,0
qwen3.5-397b,36:2384:36-2384-0,36,4,True,complete,abstract,4,0,0,0,0
deepseek-v4-flash-nothink,36:2402:36-2402-0,36,4,False,complete,abstract,1,3,0,0,0
gpt-5-mini,36:2402:36-2402-0,36,4,True,complete,abstract,1,3,0,0,0
gemma4-31b,36:2402:36-2402-0,36,4,True,complete,abstract,1,3,0,0,0
gpt-5-nano,36:2402:36-2402-0,36,4,False,complete,abstract,1,3,0,0,0
qwen3.5-397b,36:2402:36-2402-0,36,4,True,complete,abstract,1,3,0,0,0
deepseek-v4-flash-nothink,36:2419:36-2419-0,36,4,True,complete,abstract,3,1,0,0,0
gpt-5-mini,36:2419:36-2419-0,36,4,False,complete,abstract,3,1,0,0,0
gemma4-31b,36:2419:36-2419-0,36,4,True,complete,abstract,3,1,0,0,0
gpt-5-nano,36:2419:36-2419-0,36,4,True,complete,abstract,3,1,0,0,0
qwen3.5-397b,36:2419:36-2419-0,36,4,True,complete,abstract,3,1,0,0,0
deepseek-v4-flash-nothink,36:2443:36-2443-0,36,4,True,complete,abstract,3,1,0,0,0
gpt-5-mini,36:2443:36-2443-0,36,4,True,complete,abstract,3,1,0,0,0
gemma4-31b,36:2443:36-2443-0,36,4,True,complete,abstract,3,1,0,0,0
gpt-5-nano,36:2443:36-2443-0,36,4,True,complete,abstract,3,1,0,0,0
qwen3.5-397b,36:2443:36-2443-0,36,4,True,complete,abstract,3,1,0,0,0
deepseek-v4-flash-nothink,36:2479:36-2479-0,36,4,True,complete,abstract,2,2,0,0,0
gpt-5-mini,36:2479:36-2479-0,36,4,True,complete,abstract,2,2,0,0,0
gemma4-31b,36:2479:36-2479-0,36,4,True,complete,abstract,2,2,0,0,0
gpt-5-nano,36:2479:36-2479-0,36,4,False,complete,abstract,2,2,0,0,1
qwen3.5-397b,36:2479:36-2479-0,36,4,True,complete,abstract,2,2,0,0,0
deepseek-v4-flash-nothink,36:2575:36-2575-0,36,4,True,complete,abstract,1,3,0,0,0
gpt-5-mini,36:2575:36-2575-0,36,4,True,complete,abstract,1,3,0,0,0
gemma4-31b,36:2575:36-2575-0,36,4,True,complete,abstract,1,3,0,0,0
gpt-5-nano,36:2575:36-2575-0,36,4,True,complete,abstract,1,3,0,0,0
qwen3.5-397b,36:2575:36-2575-0,36,4,True,complete,abstract,1,3,0,0,0
deepseek-v4-flash-nothink,36:2579:36-2579-0,36,4,True,complete,abstract,3,1,0,0,0
gpt-5-mini,36:2579:36-2579-0,36,4,True,complete,abstract,3,1,0,0,0
gemma4-31b,36:2579:36-2579-0,36,4,True,complete,abstract,3,1,0,0,0
gpt-5-nano,36:2579:36-2579-0,36,4,False,complete,abstract,3,1,0,0,2
qwen3.5-397b,36:2579:36-2579-0,36,4,True,complete,abstract,3,1,0,0,0
deepseek-v4-flash-nothink,36:2636:36-2636-0,36,4,True,complete,abstract,3,1,0,0,0
gpt-5-mini,36:2636:36-2636-0,36,4,False,complete,abstract,3,1,0,0,0
gemma4-31b,36:2636:36-2636-0,36,4,True,complete,abstract,3,1,0,0,0
gpt-5-nano,36:2636:36-2636-0,36,4,True,complete,abstract,3,1,0,0,0
qwen3.5-397b,36:2636:36-2636-0,36,4,True,complete,abstract,3,1,0,0,0
deepseek-v4-flash-nothink,36:2657:36-2657-0,36,4,True,complete,abstract,4,0,0,0,0
gpt-5-mini,36:2657:36-2657-0,36,4,True,complete,abstract,4,0,0,0,0
gemma4-31b,36:2657:36-2657-0,36,4,True,complete,abstract,4,0,0,0,0
gpt-5-nano,36:2657:36-2657-0,36,4,True,complete,abstract,4,0,0,0,0
qwen3.5-397b,36:2657:36-2657-0,36,4,True,complete,abstract,4,0,0,0,0
deepseek-v4-flash-nothink,36:2710:36-2710-0,36,4,True,complete,abstract,1,3,0,0,0
gpt-5-mini,36:2710:36-2710-0,36,4,False,complete,abstract,1,3,0,0,0
gemma4-31b,36:2710:36-2710-0,36,4,True,complete,abstract,1,3,0,0,0
gpt-5-nano,36:2710:36-2710-0,36,4,False,complete,abstract,1,3,0,0,0
qwen3.5-397b,36:2710:36-2710-0,36,4,True,complete,abstract,1,3,0,0,0
deepseek-v4-flash-nothink,36:2824:36-2824-0,36,4,True,complete,abstract,3,1,0,0,0
gpt-5-mini,36:2824:36-2824-0,36,4,True,complete,abstract,3,1,0,0,0
gemma4-31b,36:2824:36-2824-0,36,4,True,complete,abstract,3,1,0,0,0
gpt-5-nano,36:2824:36-2824-0,36,4,False,complete,abstract,3,1,0,0,0
qwen3.5-397b,36:2824:36-2824-0,36,4,True,complete,abstract,3,1,0,0,0
deepseek-v4-flash-nothink,36:2826:36-2826-0,36,4,True,complete,abstract,4,0,0,0,0
gpt-5-mini,36:2826:36-2826-0,36,4,True,complete,abstract,4,0,0,0,0
gemma4-31b,36:2826:36-2826-0,36,4,True,complete,abstract,4,0,0,0,0
gpt-5-nano,36:2826:36-2826-0,36,4,True,complete,abstract,4,0,0,0,0
qwen3.5-397b,36:2826:36-2826-0,36,4,True,complete,abstract,4,0,0,0,0
deepseek-v4-flash-nothink,36:2894:36-2894-0,36,4,True,complete,abstract,4,0,0,0,0
gpt-5-mini,36:2894:36-2894-0,36,4,True,complete,abstract,4,0,0,0,0
gemma4-31b,36:2894:36-2894-0,36,4,True,complete,abstract,4,0,0,0,0
gpt-5-nano,36:2894:36-2894-0,36,4,True,complete,abstract,4,0,0,0,0
qwen3.5-397b,36:2894:36-2894-0,36,4,True,complete,abstract,4,0,0,0,0
deepseek-v4-flash-nothink,36:3019:36-3019-0,36,4,True,complete,abstract,3,1,0,0,0
gpt-5-mini,36:3019:36-3019-0,36,4,True,complete,abstract,3,1,0,0,0
gemma4-31b,36:3019:36-3019-0,36,4,True,complete,abstract,3,1,0,0,0
gpt-5-nano,36:3019:36-3019-0,36,4,True,complete,abstract,3,1,0,0,0
qwen3.5-397b,36:3019:36-3019-0,36,4,True,complete,abstract,3,1,0,0,0
deepseek-v4-flash-nothink,36:3069:36-3069-0,36,4,True,complete,abstract,3,1,0,0,0
gpt-5-mini,36:3069:36-3069-0,36,4,True,complete,abstract,3,1,0,0,0
gemma4-31b,36:3069:36-3069-0,36,4,True,complete,abstract,3,1,0,0,0
gpt-5-nano,36:3069:36-3069-0,36,4,True,complete,abstract,3,1,0,0,0
qwen3.5-397b,36:3069:36-3069-0,36,4,True,complete,abstract,3,1,0,0,0
deepseek-v4-flash-nothink,36:3090:36-3090-0,36,4,True,complete,abstract,3,1,0,0,0
gpt-5-mini,36:3090:36-3090-0,36,4,False,complete,abstract,3,1,0,0,0
gemma4-31b,36:3090:36-3090-0,36,4,True,complete,abstract,3,1,0,0,0
gpt-5-nano,36:3090:36-3090-0,36,4,True,complete,abstract,3,1,0,0,0
qwen3.5-397b,36:3090:36-3090-0,36,4,True,complete,abstract,3,1,0,0,0
deepseek-v4-flash-nothink,36:3136:36-3136-0,36,4,True,complete,abstract,3,1,0,0,0
gpt-5-mini,36:3136:36-3136-0,36,4,True,complete,abstract,3,1,0,0,0
gemma4-31b,36:3136:36-3136-0,36,4,True,complete,abstract,3,1,0,0,0
gpt-5-nano,36:3136:36-3136-0,36,4,True,complete,abstract,3,1,0,0,0
qwen3.5-397b,36:3136:36-3136-0,36,4,True,complete,abstract,3,1,0,0,0
deepseek-v4-flash-nothink,36:3180:36-3180-0,36,4,True,complete,abstract,3,1,0,0,0
gpt-5-mini,36:3180:36-3180-0,36,4,True,complete,abstract,3,1,0,0,0
gemma4-31b,36:3180:36-3180-0,36,4,True,complete,abstract,3,1,0,0,0
gpt-5-nano,36:3180:36-3180-0,36,4,False,complete,abstract,3,1,0,0,0
qwen3.5-397b,36:3180:36-3180-0,36,4,True,complete,abstract,3,1,0,0,0
deepseek-v4-flash-nothink,36:3185:36-3185-0,36,4,True,complete,abstract,4,0,0,0,0
gpt-5-mini,36:3185:36-3185-0,36,4,False,complete,abstract,4,0,0,0,0
gemma4-31b,36:3185:36-3185-0,36,4,True,complete,abstract,4,0,0,0,0
gpt-5-nano,36:3185:36-3185-0,36,4,True,complete,abstract,4,0,0,0,0
qwen3.5-397b,36:3185:36-3185-0,36,4,True,complete,abstract,4,0,0,0,0
deepseek-v4-flash-nothink,36:3186:36-3186-0,36,4,True,complete,abstract,3,1,0,0,0
gpt-5-mini,36:3186:36-3186-0,36,4,False,complete,abstract,3,1,0,0,0
gemma4-31b,36:3186:36-3186-0,36,4,True,complete,abstract,3,1,0,0,0
gpt-5-nano,36:3186:36-3186-0,36,4,True,complete,abstract,3,1,0,0,0
qwen3.5-397b,36:3186:36-3186-0,36,4,True,complete,abstract,3,1,0,0,0
